,title,link,content
2403,"[속보] 현대차, 아산공장 생산 재개…""반도체 부품 재공급""",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202104140088&t=NN,차량용 반도체 수급 문제로 이틀간 가동을 중단했던 현대차 아산공장이 14일 재가동을 시작했다. 현대차는 아산공장에 반도체 부품이 재공급됨에 따라 생산을 재개했다고 공시했다. 그랜저와 쏘나타를 생산하는...
2404,"현대차 체코공장, 체코 국가품질상 4회 연속 최우수상",http://www.updownnews.co.kr/news/articleView.html?idxno=231729,현대차는 19일(현지시간) 체코 산업통상부 청사에서 열린 '2020 체코 국가 품질상' 시상식에서 현대차 체코공장이 '엑셀런스'(Excellence) 분야 산업 부문에서 체코 현지 기업 중 유일하게 4회 연속 최우수상을 수상했다고...
2405,현대차-SK 총수 ‘배터리 동맹’ 결실,https://www.donga.com/news/article/all/20210417/106452853/1,"현대차와 기아, SK이노베이션은 HEV용 파우치형 배터리 공동 개발에 착수한다고 16일 밝혔다. 현대차와 기아가 개발 초기 단계부터 참여해 배터리 소재부터 세부 사양까지 직접 고를 계획이다. 차량의 설계와 배터리..."
2406,"[단독] 현대차, 다음주 아산공장 3번째 셧다운…반도체 타격 장기화",https://news.mtn.co.kr/newscenter/news_viewer.mtn?gidx=2021052115061188641,현대차 아산공장.현대차가 차량용 반도체 수급 부족으로 또다시 아산공장 생산라인 가동을 중단한다. 21일 업계에 따르면 현대차는 오는 24~26일 사흘간 아산공장의 그랜저 생산라인 가동을 멈춘다. 아산공장의 쏘나타...
2407,현대차 체코공장 '체코 국가 품질상' 최우수상 4회 연속 수상,http://www.consumuch.com/news/articleView.html?idxno=52573,현대차는 19일(현지시각) 체코 산업통상부 청사에서 열린 '2020 체코 국가 품질상(2020 Czech National Award for... 백철승 현대차 체코생산법인장 등 관계자들이 참석한 가운데 온라인 현장 생중계로 진행됐다. 출처...
2408,"현대차, 오는 24일 아이오닉 5 미국시장 첫선…올 가을 출시",https://biz.sbs.co.kr/article_hub/20000015331?division=NAVER,"현대차 미국법인(HMA)은 현지시간으로 오는 24일, 온라인 가상 쇼케이스를 통해 북미 시장에 아이오닉 5를 공개한다고 오늘(13일) 밝혔습니다. 현대차는 ""아이오닉 5의 진보적 디자인은 전용 전기차 플랫폼이 제공하는..."
2409,반도체 대란 현대차 덮쳤다…울산1공장 다음주 휴업 유력,http://www.newsis.com/view/?id=NISX20210330_0001387895&cID=13001&pID=13000,30일 업계에 따르면 현대차 울산 1공장은 다음달 5~13일 휴업하는 방안을 논의 중이다. 현대차는 울산1공장에서 생산되는 '코나'에 들어가는 일부 반도체 부품 수급에 어려움을 겪고 있다. 울산1공장에서 생산되는...
2410,"현대차, 전기차 고객 위한 '충전 대행 서비스' 선보여",http://www.inews24.com/view/1365491,"픽업앤충전 서비스는 현대차가 자사 전기차를 보유한 고객을 대상으로 원하는 위치에서 차량을 픽업해 충전... 아이오닉5, 코나 일렉트릭, 아이오닉 일렉트릭에 제공되는 픽업앤충전 서비스는 현대차의 통합 고객 서비스..."
2411,"현대차 1분기 실적 양호 ""제네시스·SUV 판매 껑충""(종합)",https://view.asiae.co.kr/article/2021042214334062112,"현대차는 22일 1분기 매출액 27조3909억원, 영업이익 1조6566억원을 기록했다고 밝혔다. 전년 동기 대비 매출액은 8.2%, 영업이익은 91.8% 늘었다. 현대차는 1분기 글로벌 시장에서 도매판매 기준 100만281대를 판매했다. 이는..."
2412,"[넘버스]현대차 127%, 삼성전자 25%...실질 법인세율 다른 이유",http://www.bloter.net/newsView/blt202105180011,"현대차 실질 법인세율 127.4%...LG화학은 55.3% <블로터>는 시가총액 10위 기업의 지난해 '법인세 부담액'을... 용어가 어려운데, 현대차는 지난해 실질 법인세율이 127.4%에 달하는 것으로 나타났습니다. 전년에는 19.0..."
2413,"[SR자동차] 현대차, 제주도 전용 전기차 웹사이트 오픈",http://www.srtimes.kr/news/articleView.html?idxno=94078,"ⓒ현대차 - 차량 사용법, 충전소 위치, 충전 방법 등 제공 현대자동차는 제주도 지역에서 전기차를 이용하는... 현대차는 제주도에서 '탐라는 전기차' 사이트를 통해 고객들에게 전기차 충전소 위치와 충전 가능 상태 등을..."
2414,반도체 대란 현대차 덮쳤다…울산1공장 7~14일 휴업(종합),http://www.newsis.com/view/?id=NISX20210330_0001388525&cID=13001&pID=13000,"현대차는 30일 ""코나 전방 카메라 반도체, 아이오닉 5 PE모듈 수급 차질로 인해 울산1공장을 오는 7일부터 14일까지 휴업하기로 했다""고 밝혔다. 현대차는 울산1공장에서 생산되는 '코나'에 들어가는 일부 반도체 부품..."
2415,"현대차 투싼ㆍ넥쏘, 반도체 수급 문제로 17, 18일 휴업",https://www.etoday.co.kr/news/view/2025881,"13일 현대차에 따르면 에어백 제어와 관련된 반도체의 재고가 부족해 울산 5공장과 1공장의 일부 생산라인이 휴업한다. 앞서 6~7일에도 현대차는 포터 생산라인과 지난달 아이오닉 5, 코나 생산라인이 같은 이유로..."
2416,"쏘나타 '오마주'한 현대차, 기아 K5 겨우 눌렀는데",https://www.asiatime.co.kr/article/20210526500117,"(그래픽=윤수진 기자) [아시아타임즈=천원기 기자] 지난달 가까스로 기아 'K5'를 눌렀던 현대차 '쏘나타'가... 하지만 웃음도 잠시, 쏘나타를 생산하는 현대차 아산공장이 지난 24일부터 휴업하는 등 올들어 반도체 수급..."
2417,"현대차, '아이오닉6 세단' 이어 '아이오닉7 SUV' 예고...483km↑",http://www.gpkorea.com/news/articleView.html?idxno=74477,"현대차는 24일(현지시각) 북미에서 진행된 미디어 브리핑에서 아이오닉 6와 아이오닉7에 대한 구체적인... 호세 뮤노즈 현대차 북미법인 CEO는 ""북미시장에서 트럭과 SUV가 인기를 모으고 있는 만큼 아이오닉7에 대한..."
2418,현대차-UN 프로젝트에 '제시카 알바' 등장한 이유는,http://news.mt.co.kr/mtview.php?no=2021050613465269291,"현대차와 UNDP는 'for Tomorrow' 프로젝트의 첫 주제로 UN(국제연합)의 17가지 '지속가능한 개발 목표' 중... 알바는 그간 ""현대차와 UN이 더 나은 내일을 위해 함께 하는 것을 볼 수 있어 감격스럽다""며 ""생각치 못하게..."
2419,"“모터 하나로 수동휠체어가 전동휠체어로”..현대차, ‘전동화 키트’ 전달",http://kpenews.com/View.aspx?No=1637549,"현대차그룹은 20일 이병훈 현대차그룹 상무, 최공열 한국장애인단체총연맹 상임대표 등이 참석해 ‘수동휠체어 전동화키트 보급사업 전달식’을 가졌다. ‘수동휠체어 전동화키트 보급사업’은 현대차그룹이..."
