,lastBuildDate,total,start,display,items
20,"Sat, 05 Jun 2021 20:46:22 +0900",1234428,1,100,"{'title': ""'부(富)의 상징'은 옛말···주유소가 몰락하고 있다"", 'originallink': 'http://www.sisajournal-e.com/news/articleView.html?idxno=232846', 'link': 'http://www.sisajournal-e.com/news/articleView.html?idxno=232846', 'description': '<b>현대차</b>·기아 등은 물론이고 글로벌 완성차업계도 전기차 라인업을 강화하는 추세다. 수익성이 악화됨과 동시에 미래마저 불투명해지자 폐업하는 주유소가 증가하게 된 셈이다. 업계는 이 같은 흐름이 가속화 될... ', 'pubDate': 'Sat, 05 Jun 2021 09:02:00 +0900'}"
21,"Sat, 05 Jun 2021 20:46:22 +0900",1234428,1,100,"{'title': ""[전기차 관련주] '껑충껑충 상승' 보성파워텍·대유플러스·대창스틸·쎄미시..."", 'originallink': 'http://www.thekpm.com/view.php?ud=20210605085827590124506bdf1_17', 'link': 'http://www.thekpm.com/view.php?ud=20210605085827590124506bdf1_17', 'description': '성창오토텍, <b>현대차</b>, 우리산업, 디아이씨, 엠플러스, 로스웰, 지엠비코리아, 계양전기, 원익피앤이, 상신이디피, 삼화전자, 피에스텍, 아진산업, 나라엠앤디, SK이노베이션, 성문전자, 삼성SDI, 한국단자 등은... ', 'pubDate': 'Sat, 05 Jun 2021 09:02:00 +0900'}"
22,"Sat, 05 Jun 2021 20:46:22 +0900",1234428,1,100,"{'title': '[기업의 변신] &quot;대체 이런 사업은 왜?&quot;…기업의 이유 있는 변화', 'originallink': 'https://www.etoday.co.kr/news/view/2030639', 'link': 'https://www.etoday.co.kr/news/view/2030639', 'description': '이노션은 이에 대비해 모빌리티에 적합한 콘텐츠 제작 역량을 갖춰 <b>현대차</b>ㆍ기아의 인포테인먼트 시스템을 뒷받침하려 준비 중이다. 광고업계 관계자는 &quot;광고와 콘텐츠, 커머스가 결합한 미디어커머스 사업은 디지털... ', 'pubDate': 'Sat, 05 Jun 2021 09:02:00 +0900'}"
23,"Sat, 05 Jun 2021 20:46:22 +0900",1234428,1,100,"{'title': ""테슬라, 물량 폭탄으로 벤츠 E클래스 '수입차 왕관' 빼앗았다"", 'originallink': 'https://news.joins.com/article/olink/23669688', 'link': 'https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=025&aid=0003107299', 'description': '모델Y와 같은 전기차 시장을 놓고 경쟁하는 <b>현대차</b>의 아이오닉5은 지난달 1919대 팔렸다. 현대, 기아 이어 3위 굳힌 벤츠 테슬라의 모델Y가 베스트셀링 카로 올라섰지만, 국내 자동차 시장에서 <b>현대차</b>·기아에 이은 3위... ', 'pubDate': 'Sat, 05 Jun 2021 09:00:00 +0900'}"
24,"Sat, 05 Jun 2021 20:46:22 +0900",1234428,1,100,"{'title': '아산시, 자동차 산업 위기극복… 100억원 무담보 특화보증 시행', 'originallink': 'http://www.newscj.com/news/articleView.html?idxno=867198', 'link': 'http://www.newscj.com/news/articleView.html?idxno=867198', 'description': '<b>현대차</b> 아산공장 7월 장기휴업 자동차산업 위기 극복 뜻 모아 실질적 도움 되도록 노력할 것 [천지일보 아산=박주환 기자] 현대자동차 아산공장의 7월 장기휴업을 앞두고 충남 아산시(시장 오세현)가 4일부터 자동차부품... ', 'pubDate': 'Sat, 05 Jun 2021 09:00:00 +0900'}"
25,"Sat, 05 Jun 2021 20:46:22 +0900",1234428,1,100,"{'title': '비정규직 투쟁의 시작 기륭 언니들...&quot;위험하니까 남자들은 뒤로 가&quot;', 'originallink': 'https://www.pressian.com/pages/articles/2021060500074819329?utm_source=naver&utm_medium=search', 'link': 'https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=002&aid=0002192826', 'description': '울산 <b>현대차</b> 비정규직 노동자 싸움에, 한진중공업 김진숙 크레인농성 희망버스에, 쌍용자동차 투쟁 등 안 간 곳이 없다. 자기 사업장 투쟁에 매몰되지 않으려고 노력했다. 함께 싸워야 이긴다고 생각했다. 2010년 사회적... ', 'pubDate': 'Sat, 05 Jun 2021 08:44:00 +0900'}"
26,"Sat, 05 Jun 2021 20:46:22 +0900",1234428,1,100,"{'title': '[시승기] <b>현대차</b> 싼타페, 도심형 SUV 기준 제시하다', 'originallink': 'https://www.ekn.kr/web/view.php?key=20210605010000828', 'link': 'https://www.ekn.kr/web/view.php?key=20210605010000828', 'description': '<b>현대차</b>가 ‘독수리의 눈’이라고 소개하는 헤드램프부터 넓은 라디에이터 그릴까지 이어지는 전면부... 준다고 <b>현대차</b>는 소개했다. 실내는 넓다. 운전석부터 2열까지 곳곳에 적재공간을 둬 활용성을 높였다. 더 뉴... ', 'pubDate': 'Sat, 05 Jun 2021 08:10:00 +0900'}"
27,"Sat, 05 Jun 2021 20:46:22 +0900",1234428,1,100,"{'title': ""기아, 2021년형 '리오' 아르헨티나 출격…5년·10만㎞ 보증"", 'originallink': 'https://www.theguru.co.kr/news/article.html?no=21955', 'link': 'https://www.theguru.co.kr/news/article.html?no=21955', 'description': ""<b>현대차</b> 남미 전략 차종 'HB20' 역시 같은 이유로 브라질 시장에서 큰 인기를 끌며 지난해 차종별 순위 2위를 기록한 바 있다. 기아는 신형 리오를 앞세워 남미 시장 점유율을 확대하기 위한 전략을 마련한다는... "", 'pubDate': 'Sat, 05 Jun 2021 08:00:00 +0900'}"
28,"Sat, 05 Jun 2021 20:46:22 +0900",1234428,1,100,"{'title': ""무선이어폰 없으면 '아재'? 석달새 6400만대 팔려"", 'originallink': 'http://news.bizwatch.co.kr/article/industry/2021/06/04/0007', 'link': 'https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=648&aid=0000001542', 'description': ""'협력사\xa0상생'\xa0<b>현대차</b>, 스마트공장 구축 돕는다 현대자동차그룹이 중소벤처기업부... <b>현대차</b>그룹은 그동안 중기부가 추진 중인 '대중소 상생형 스마트공장 보급확산 사업'에 지속적으로 참여. 2019~2020년에는 총... "", 'pubDate': 'Sat, 05 Jun 2021 07:31:00 +0900'}"
29,"Sat, 05 Jun 2021 20:46:22 +0900",1234428,1,100,"{'title': ""[국정농담] 기업 총수에 180도 달라진 文, '경제'로 반전 노리나"", 'originallink': 'https://www.sedaily.com/NewsView/22NINYD9I9', 'link': 'https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=011&aid=0003919357', 'description': '4일에는 이호승 실장과 문승욱 산업통상자원부 장관이 이인용 삼성전자 사장, 공영운 <b>현대차</b>(005380) 사장, 장동현 SK 사장, 영수 LG 부회장, 이동우 롯데지주(004990) 사장 등 5대 그룹 사장단과 서울 모처에서 비공개 회동을... ', 'pubDate': 'Sat, 05 Jun 2021 07:02:00 +0900'}"
30,"Sat, 05 Jun 2021 20:46:22 +0900",1234428,1,100,"{'title': '디지털세 과세 시 국내 법인세수 감소? 정부 아직 추계 못 해', 'originallink': 'https://www.etoday.co.kr/news/view/2032750', 'link': 'https://www.etoday.co.kr/news/view/2032750', 'description': '특히 소비자대상사업에는 휴대전화, 가전, 자동차 등 우리나라 글로벌 기업인 삼성전자와 LG전자, <b>현대차</b> 등의 주력사업이 대거 포함돼 있어 국내 주요 기업들은 해외에서 디지털세를 추가로 부권담하게 된다. 다만... ', 'pubDate': 'Sat, 05 Jun 2021 07:02:00 +0900'}"
31,"Sat, 05 Jun 2021 20:46:22 +0900",1234428,1,100,"{'title': '환경을 지켜라, 재계 ‘환경의 날’ 캠페인 봇물', 'originallink': 'https://www.seoul.co.kr/news/newsView.php?id=20210604500168&wlog_tag3=naver', 'link': 'https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=081&aid=0003191794', 'description': '<b>현대차</b>는 지난해부터 BTS와 함께 미래 청정에너지 수소의 중요성을 알리기 위한 ‘글로벌 수소 캠페인’을 진행하고 있다. 이달 들어 플라스틱 줄이기 캠페인을 벌이거나 관련 제품을 내놓은 업체들도 눈에 띈다. 특히... ', 'pubDate': 'Sat, 05 Jun 2021 07:01:00 +0900'}"
